,filea,fileb,filec
0,20011120031013c,20011120023836c,20011120020811c
1,20011120041823b,20011120034947b,20011120032016b
2,20011120025703c,20011120022522c,20011120015511c
3,20011120030612c,20011120023432c,20011120020416c
4,20011120025103b,20011120021922b,20011120014914b
5,20011120024653c,20011120021525c,20011120014520c
6,20011120025903c,20011120022722c,20011120015707c
7,20011120041923b,20011120035045b,20011120032122b
8,20011120025304a,20011120022122a,20011120015111a
9,20011120025204b,20011120022022b,20011120015013b
10,20011120030612b,20011120023432b,20011120020416b
11,20011120030813b,20011120023637b,20011120020613b
12,20011120030512c,20011120023332c,20011120020317c
13,20011120030813a,20011120023637a,20011120020613a
14,20011120042328b,20011120035453b,20011120032521b
15,20011120062544a,20011120053540a,20011120045252a
16,20011120030205b,20011120023026b,20011120020013b
18,20011120042630a,20011120035755a,20011120032821a
19,20011120041525b,20011120034639b,20011120031706b
20,20011120042229b,20011120035352b,20011120032422b
21,20011120031508b,20011120024441b,20011120021310b
22,20011120025403b,20011120022223b,20011120015212b
23,20011120030914a,20011120023737a,20011120020712a
24,20011120024441a,20011120031508a,20011120021310a
26,20011120031407b,20011120024341b,20011120021209b
27,20011120031112b,20011120020912b,20011120023937b
28,20011120030407a,20011120020212a,20011120023232a
30,20011120032621b,20011120042429b,20011120035553b
31,20011120041823a,20011120034947a,20011120032016a
32,20011120062141a,20011120053140a,20011120044848a
33,20011120025002b,20011120021822b,20011120014816b
36,20011120041724a,20011120034846a,20011120031909a
37,20011120041724c,20011120034846c,20011120031909c
38,20011120025903b,20011120022722b,20011120015707b
39,20011120025804b,20011120022622b,20011120015609b
40,20011120031112a,20011120023937a,20011120020912a
41,20011120030004b,20011120022828b,20011120015808b
42,20011120030205c,20011120023026c,20011120020013c
43,20011120042429c,20011120035553c,20011120032621c
44,20011120041625a,20011120034745a,20011120031806a
46,20011120015511a,20011120022522a,20011120025703a
50,20011120025204c,20011120022022c,20011120015013c
51,20011120042229a,20011120035352a,20011120032422a
52,20011120044442c,20011120060956c,20011120052744c
53,20011120030712c,20011120020514c,20011120023532c
54,20011120025602c,20011120022423c,20011120015412c
55,20011120031407c,20011120021209c,20011120024341c
56,20011120031211b,20011120024039b,20011120021011b
57,20011120022622c,20011120015609c,20011120025804c
61,20011120041625b,20011120034745b,20011120031806b
62,20011120023332a,20011120020317a,20011120030512a
63,20011120042529c,20011120032722c,20011120035655c
64,20011120025903a,20011120022722a,20011120015707a
65,20011120042126a,20011120035252a,20011120032322a
67,20011120021922a,20011120025103a,20011120014914a
68,20011120031508c,20011120024441c,20011120021310c
69,20011120030914c,20011120023737c,20011120020712c
73,20011120024653b,20011120021525b,20011120014520b
74,20011120031308b,20011120021110b,20011120024241b
75,20011120041724b,20011120034846b,20011120031909b
77,20011120052842c,20011120061445c,20011120044542c
78,20011120042026b,20011120035152b,20011120032222b
80,20011120025002a,20011120021822a,20011120014816a
81,20011120023132c,20011120030303c,20011120020112c
82,20011120025403a,20011120015212a,20011120022223a
84,20011120024541c,20011120021407c,20011120031607c
86,20011120030205a,20011120023026a,20011120020013a
87,20011120030407b,20011120020212b,20011120023232b
88,20011120030004a,20011120022828a,20011120015808a
89,20011120022423a,20011120015412a,20011120025602a
90,20011120062343c,20011120053341c,20011120045047c
